name,location,cuisine,ratings
Tipsy Panda,Woodlands,Fusion Restaurant,5.6/6
Royal Palm - Orchid Country Club,Yishun,Singaporean Restaurant,4.9/6
YOUNGS Bar and Restaurant,Seletar,European Restaurant,4.9/6
Wildseed Grill & Bar,Seletar,Western Restaurant,4.9/6
347 Seafood restaurant,Ang Mo Kio,Singaporean Restaurant,5.1/6
The Famous Kitchen,Khatib,Chinese Restaurant,4.7/6
Georges By The Bay,Punggol,International Restaurant,5.0/6
Yunnans 云海肴 (NEX),Serangoon,Chinese Restaurant,5.2/6
Jangsu Korean BBQ,Serangoon,Korean Restaurant,5.2/6
La Pizzaiola - Braddell Height's Estate (Jalan Riang),Braddell,Italian Restaurant,5.2/6
Greenland Vegetarian Restaurant,Serangoon,Vegetarian Option,5.0/6
Grapevine - Serangoon,Serangoon,Western Restaurant,5.1/6
Yassin Kampung Seafood - Marsiling,Marsiling,Asian Restaurant,5.1/6
Fragrant Garden 馨香园 - Serangoon,Serangoon,Chinese Restaurant,4.9/6
Ichikokudo Hokkaido Ramen - Northpoint City,Yishun,Japanese Restaurant,5.1/6
Suki-Suki Thai - HomeTeam Khatib,Khatib,Thai Restaurant,5.4/6
Flavour Flings restaurant,Hougang,Western Restaurant,4.9/6
Eatzi Gourmet Bistro - SAFRA Yishun,Yishun,International Restaurant,5.4/6
Yassin Kampung Seafood- Admiralty,Admiralty,Southeast Asian Restaurant,5.3/6
La Pizzaiola - Teacher's Estate (Kalidasa),Yio Chu Kang,Italian Restaurant,5.3/6
Tipsy Panda,Woodlands,Fusion Restaurant,5.6/6
Royal Palm - Orchid Country Club,Yishun,Singaporean Restaurant,4.9/6
YOUNGS Bar and Restaurant,Seletar,European Restaurant,4.9/6
Wildseed Grill & Bar,Seletar,Western Restaurant,4.9/6
347 Seafood restaurant,Ang Mo Kio,Singaporean Restaurant,5.1/6
The Famous Kitchen,Khatib,Chinese Restaurant,4.7/6
Georges By The Bay,Punggol,International Restaurant,5.0/6
Yunnans 云海肴 (NEX),Serangoon,Chinese Restaurant,5.2/6
Jangsu Korean BBQ,Serangoon,Korean Restaurant,5.2/6
La Pizzaiola - Braddell Height's Estate (Jalan Riang),Braddell,Italian Restaurant,5.2/6
Greenland Vegetarian Restaurant,Serangoon,Vegetarian Option,5.0/6
Grapevine - Serangoon,Serangoon,Western Restaurant,5.1/6
Yassin Kampung Seafood - Marsiling,Marsiling,Asian Restaurant,5.1/6
Fragrant Garden 馨香园 - Serangoon,Serangoon,Chinese Restaurant,4.9/6
Ichikokudo Hokkaido Ramen - Northpoint City,Yishun,Japanese Restaurant,5.1/6
Suki-Suki Thai - HomeTeam Khatib,Khatib,Thai Restaurant,5.4/6
Flavour Flings restaurant,Hougang,Western Restaurant,4.9/6
Eatzi Gourmet Bistro - SAFRA Yishun,Yishun,International Restaurant,5.4/6
Yassin Kampung Seafood- Admiralty,Admiralty,Southeast Asian Restaurant,5.3/6
La Pizzaiola - Teacher's Estate (Kalidasa),Yio Chu Kang,Italian Restaurant,5.3/6
Tipsy Panda,Woodlands,Fusion Restaurant,5.6/6
Royal Palm - Orchid Country Club,Yishun,Singaporean Restaurant,4.9/6
YOUNGS Bar and Restaurant,Seletar,European Restaurant,4.9/6
Wildseed Grill & Bar,Seletar,Western Restaurant,4.9/6
347 Seafood restaurant,Ang Mo Kio,Singaporean Restaurant,5.1/6
The Famous Kitchen,Khatib,Chinese Restaurant,4.7/6
Georges By The Bay,Punggol,International Restaurant,5.0/6
Yunnans 云海肴 (NEX),Serangoon,Chinese Restaurant,5.2/6
Jangsu Korean BBQ,Serangoon,Korean Restaurant,5.2/6
La Pizzaiola - Braddell Height's Estate (Jalan Riang),Braddell,Italian Restaurant,5.2/6
Greenland Vegetarian Restaurant,Serangoon,Vegetarian Option,5.0/6
Grapevine - Serangoon,Serangoon,Western Restaurant,5.1/6
Yassin Kampung Seafood - Marsiling,Marsiling,Asian Restaurant,5.1/6
Fragrant Garden 馨香园 - Serangoon,Serangoon,Chinese Restaurant,4.9/6
Ichikokudo Hokkaido Ramen - Northpoint City,Yishun,Japanese Restaurant,5.1/6
Suki-Suki Thai - HomeTeam Khatib,Khatib,Thai Restaurant,5.4/6
Flavour Flings restaurant,Hougang,Western Restaurant,4.9/6
Eatzi Gourmet Bistro - SAFRA Yishun,Yishun,International Restaurant,5.4/6
Yassin Kampung Seafood- Admiralty,Admiralty,Southeast Asian Restaurant,5.3/6
La Pizzaiola - Teacher's Estate (Kalidasa),Yio Chu Kang,Italian Restaurant,5.3/6
Tipsy Panda,Woodlands,Fusion Restaurant,5.6/6
Royal Palm - Orchid Country Club,Yishun,Singaporean Restaurant,4.9/6
YOUNGS Bar and Restaurant,Seletar,European Restaurant,4.9/6
Wildseed Grill & Bar,Seletar,Western Restaurant,4.9/6
347 Seafood restaurant,Ang Mo Kio,Singaporean Restaurant,5.1/6
The Famous Kitchen,Khatib,Chinese Restaurant,4.7/6
Georges By The Bay,Punggol,International Restaurant,5.0/6
Yunnans 云海肴 (NEX),Serangoon,Chinese Restaurant,5.2/6
Jangsu Korean BBQ,Serangoon,Korean Restaurant,5.2/6
La Pizzaiola - Braddell Height's Estate (Jalan Riang),Braddell,Italian Restaurant,5.2/6
Greenland Vegetarian Restaurant,Serangoon,Vegetarian Option,5.0/6
Grapevine - Serangoon,Serangoon,Western Restaurant,5.1/6
Yassin Kampung Seafood - Marsiling,Marsiling,Asian Restaurant,5.1/6
Fragrant Garden 馨香园 - Serangoon,Serangoon,Chinese Restaurant,4.9/6
Ichikokudo Hokkaido Ramen - Northpoint City,Yishun,Japanese Restaurant,5.1/6
Suki-Suki Thai - HomeTeam Khatib,Khatib,Thai Restaurant,5.4/6
Flavour Flings restaurant,Hougang,Western Restaurant,4.9/6
Eatzi Gourmet Bistro - SAFRA Yishun,Yishun,International Restaurant,5.4/6
Yassin Kampung Seafood- Admiralty,Admiralty,Southeast Asian Restaurant,5.3/6
La Pizzaiola - Teacher's Estate (Kalidasa),Yio Chu Kang,Italian Restaurant,5.3/6
Tipsy Panda,Woodlands,Fusion Restaurant,5.6/6
Royal Palm - Orchid Country Club,Yishun,Singaporean Restaurant,4.9/6
YOUNGS Bar and Restaurant,Seletar,European Restaurant,4.9/6
Wildseed Grill & Bar,Seletar,Western Restaurant,4.9/6
347 Seafood restaurant,Ang Mo Kio,Singaporean Restaurant,5.1/6
The Famous Kitchen,Khatib,Chinese Restaurant,4.7/6
Georges By The Bay,Punggol,International Restaurant,5.0/6
Yunnans 云海肴 (NEX),Serangoon,Chinese Restaurant,5.2/6
Jangsu Korean BBQ,Serangoon,Korean Restaurant,5.2/6
La Pizzaiola - Braddell Height's Estate (Jalan Riang),Braddell,Italian Restaurant,5.2/6
Greenland Vegetarian Restaurant,Serangoon,Vegetarian Option,5.0/6
Grapevine - Serangoon,Serangoon,Western Restaurant,5.1/6
Yassin Kampung Seafood - Marsiling,Marsiling,Asian Restaurant,5.1/6
Fragrant Garden 馨香园 - Serangoon,Serangoon,Chinese Restaurant,4.9/6
Ichikokudo Hokkaido Ramen - Northpoint City,Yishun,Japanese Restaurant,5.1/6
Suki-Suki Thai - HomeTeam Khatib,Khatib,Thai Restaurant,5.4/6
Flavour Flings restaurant,Hougang,Western Restaurant,4.9/6
Eatzi Gourmet Bistro - SAFRA Yishun,Yishun,International Restaurant,5.4/6
Yassin Kampung Seafood- Admiralty,Admiralty,Southeast Asian Restaurant,5.3/6
La Pizzaiola - Teacher's Estate (Kalidasa),Yio Chu Kang,Italian Restaurant,5.3/6
Tipsy Panda,Woodlands,Fusion Restaurant,5.6/6
Royal Palm - Orchid Country Club,Yishun,Singaporean Restaurant,4.9/6
YOUNGS Bar and Restaurant,Seletar,European Restaurant,4.9/6
Wildseed Grill & Bar,Seletar,Western Restaurant,4.9/6
347 Seafood restaurant,Ang Mo Kio,Singaporean Restaurant,5.1/6
The Famous Kitchen,Khatib,Chinese Restaurant,4.7/6
Georges By The Bay,Punggol,International Restaurant,5.0/6
Yunnans 云海肴 (NEX),Serangoon,Chinese Restaurant,5.2/6
Jangsu Korean BBQ,Serangoon,Korean Restaurant,5.2/6
La Pizzaiola - Braddell Height's Estate (Jalan Riang),Braddell,Italian Restaurant,5.2/6
Greenland Vegetarian Restaurant,Serangoon,Vegetarian Option,5.0/6
Grapevine - Serangoon,Serangoon,Western Restaurant,5.1/6
Yassin Kampung Seafood - Marsiling,Marsiling,Asian Restaurant,5.1/6
Fragrant Garden 馨香园 - Serangoon,Serangoon,Chinese Restaurant,4.9/6
Ichikokudo Hokkaido Ramen - Northpoint City,Yishun,Japanese Restaurant,5.1/6
Suki-Suki Thai - HomeTeam Khatib,Khatib,Thai Restaurant,5.4/6
Flavour Flings restaurant,Hougang,Western Restaurant,4.9/6
